gbifID,kingdom,phylum,class,order,family,genus,species,decimalLatitude,decimalLongitude,eventDate,day,month,year,speciesKey
3038638895,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,52.239542,1.416354,2/3/2017 0:00,2,3,2017,5212973
3038638837,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,51.444209,-0.355011,28/10/2016 0:00,28,10,2016,5212973
3038638788,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,54.50673,-3.525766,6/9/2018 0:00,6,9,2018,5212973
3038638764,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,55.169409,-1.731229,3/7/2017 0:00,3,7,2017,5212973
3038638731,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,55.034058,-2.836966,22/6/2017 0:00,22,6,2017,5212973
3038638639,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,54.06678,-2.291287,28/7/2014 0:00,28,7,2014,5212973
3038638635,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,54.906001,-1.820134,17/8/2017 0:00,17,8,2017,5212973
3038638616,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,52.967087,-0.019858,8/5/2019 0:00,8,5,2019,5212973
3038638582,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,54.252445,-1.125246,23/8/2012 0:00,23,8,2012,5212973
3038638507,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,53.925821,-2.764438,3/8/2016 0:00,3,8,2016,5212973
3038638465,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,55.012747,-2.883263,10/7/2014 0:00,10,7,2014,5212973
3038638457,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,53.485336,-2.533182,26/4/2016 0:00,26,4,2016,5212973
3038638440,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,51.251311,-1.789825,13/9/2017 0:00,13,9,2017,5212973
3038638421,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,50.372594,-3.887338,20/8/2019 0:00,20,8,2019,5212973
3038638418,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,50.526021,-4.676739,7/6/2017 0:00,7,6,2017,5212973
3038638407,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,51.153718,0.83596,15/10/2013 0:00,15,10,2013,5212973
3038638357,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,51.035815,-3.72559,12/7/2018 0:00,12,7,2018,5212973
3038638337,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,51.5084,-0.690166,21/9/2015 0:00,21,9,2015,5212973
3038638304,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,52.373159,-2.230992,25/6/2013 0:00,25,6,2013,5212973
3038638284,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,52.249173,-2.245302,28/6/2013 0:00,28,6,2013,5212973
